"index","city","full_city","image_url","lat","lng","page_url","state"
0,"Aculco","Aculco,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado_de_mexico_cultura_pueblos_magicos_aculco_2.jpg?itok=MsshGHJ_",20.0985989,-99.82758609999999,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/aculco","Estado de México"
1,"El Oro","El Oro,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_el-oro_01.jpeg?itok=1YTWEH9J",19.8007531,-100.1339164,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/el-oro","Estado de México"
2,"Ixtapan de la Sal","Ixtapan de la Sal,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_ixtapan-de-la-sal_01_0.jpg?itok=AyXMGJB4",18.8390501,-99.6760096,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/ixtapan-de-la-sal","Estado de México"
3,"Malinalco","Malinalco,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_malinalco_01_0.jpg?itok=uA4sGG_v",18.9483917,-99.49357979999999,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/malinalco","Estado de México"
4,"Metepec","Metepec,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_metepec_01_0.jpg?itok=08UquU4Y","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/metepec","Estado de México"
5,"Teotihuacán","Teotihuacán,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_teotihuacan_01_0.jpg?itok=oaU0pnEO",19.6860799,-98.87163609999999,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/san-juan-teotihuacan-y-san-martin-de-las-piramides","Estado de México"
6,"Tepotzotlán","Tepotzotlán,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_tepotzotlan_01_0.jpg?itok=B1A1SsjR",19.7185096,-99.2065202,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/tepotzotlan","Estado de México"
7,"Valle de Bravo","Valle de Bravo,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/2017/01/estado-de-mexico_destinos-principales_valle-de-bravo_int.jpg?itok=Qg3HOVUw",19.1950964,-100.1326725,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/valle-de-bravo","Estado de México"
8,"Villa del Carbón","Villa del Carbón,Estado de México","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/estado-de-mexico_destinos-principales_villa-del-carbon_01_0.jpg?itok=Mio40CCv",19.7287602,-99.4617111,"https://www.visitmexico.com//es/destinos-principales/estado-de-mexico/villa-del-carbon","Estado de México"
9,"Álamos","Álamos,Sonora","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/app_sonora_destinos-principales_alamos_01_2.jpg?itok=YakeAYxD",27.0254869,-108.941309,"https://www.visitmexico.com//es/destinos-principales/sonora/alamos","Sonora"
